,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,82,,││　││├シュトラウス,シュトラウス,"6,909",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,シュトラウス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83,,││　││├バルチャー,バルチャー,"7,016",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,バルチャー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,84,,││　│││├FA金剛,FA金剛,"8,148",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,バルチャー,FA金剛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,,││　││││└FAG金剛,FAG金剛,"8,776",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,バルチャー,FA金剛,FAG金剛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,,││　││││　└護衛艦仕様FAG金剛,護衛艦仕様FAG金剛,"8,778",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,バルチャー,FA金剛,FAG金剛,護衛艦仕様FAG金剛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,-3,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,87,,││　│││└バルチャー改,バルチャー改,"8,055",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,バルチャー,バルチャー改,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,88,,││　│││　└FAワイバーン,FAワイバーン,"8,090",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,バルチャー,バルチャー改,FAワイバーン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,89,,││　││├ドゥルガーI,ドゥルガーI,"7,003",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,ドゥルガーI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,,││　│││├ドゥルガーII,ドゥルガーII,"8,037",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,ドゥルガーI,ドゥルガーII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,91,,││　│││└ドゥルガー・ゴールドリッター(AF),ドゥルガー・ゴールドリッター(AF),"8,845",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,ドゥルガーI,ドゥルガー・ゴールドリッター(AF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,92,,││　│││　└ドゥルガー・ゴールドリッター,ドゥルガー・ゴールドリッター,"8,846",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,ドゥルガーI,ドゥルガー・ゴールドリッター(AF),ドゥルガー・ゴールドリッター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,-3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,93,,││　││└フレズヴェルク,フレズヴェルク,"6,916",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,フレズヴェルク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,94,,││　││　└フレズヴェルク・アーテル,フレズヴェルク・アーテル,"8,006",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,コボルド,フレズヴェルク,フレズヴェルク・アーテル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,,││　│├ラピエール,ラピエール,"6,893",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,ラピエール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,96,,││　│└クファンジャル,クファンジャル,"8,084",ボール,61式戦車,FAG轟雷,FAGスティレット,スティレット,クファンジャル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,,││　└FAGバーゼラルド,FAGバーゼラルド,"5,355",ボール,61式戦車,FAG轟雷,FAGスティレット,FAGバーゼラルド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,98,,│├ガンヘッド,ガンヘッド,"4,664",ボール,61式戦車,ガンヘッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,│├ハーマン専用61式戦車5型,ハーマン専用61式戦車5型,"4,641",ボール,61式戦車,ハーマン専用61式戦車5型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100,,│├ギザ,ギザ,"2,246",ボール,61式戦車,ギザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,,│├八九式中戦車,八九式中戦車,"4,216",ボール,61式戦車,八九式中戦車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,102,,││├チャーチルMk.VII,チャーチルMk.VII,"6,019",ボール,61式戦車,八九式中戦車,チャーチルMk.VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103,,││├IV号戦車,IV号戦車,"4,220",ボール,61式戦車,八九式中戦車,IV号戦車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,104,,││├III号突撃砲,III号突撃砲,"4,218",ボール,61式戦車,八九式中戦車,III号突撃砲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,105,,││├M3リー,M3リー,"4,217",ボール,61式戦車,八九式中戦車,M3リー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,106,,││└38(t)戦車,38(t)戦車,"4,219",ボール,61式戦車,八九式中戦車,38(t)戦車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,,│├ロジコマ,ロジコマ,"4,866",ボール,61式戦車,ロジコマ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,108,,││├フチコマ,フチコマ,"1,443",ボール,61式戦車,ロジコマ,フチコマ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,109,,│││├多脚戦車,多脚戦車,"1,645",ボール,61式戦車,ロジコマ,フチコマ,多脚戦車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,110,,│││├シャゴホッド,シャゴホッド,"2,072",ボール,61式戦車,ロジコマ,フチコマ,シャゴホッド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,111,,││││└メタルギア・レックス,メタルギア・レックス,"1,739",ボール,61式戦車,ロジコマ,フチコマ,シャゴホッド,メタルギア・レックス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,,││││　└メタルギア・レイ,メタルギア・レイ,"1,740",ボール,61式戦車,ロジコマ,フチコマ,シャゴホッド,メタルギア・レックス,メタルギア・レイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,113,,│││├ギュゲスD,ギュゲスD,"3,142",ボール,61式戦車,ロジコマ,フチコマ,ギュゲスD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,114,,│││├タチコマ,タチコマ,"1,736",ボール,61式戦車,ロジコマ,フチコマ,タチコマ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,115,,││││├タチコマ2nd,タチコマ2nd,"1,892",ボール,61式戦車,ロジコマ,フチコマ,タチコマ,タチコマ2nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,,│││││├ウチコマ,ウチコマ,"2,101",ボール,61式戦車,ロジコマ,フチコマ,タチコマ,タチコマ2nd,ウチコマ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,117,,│││││├タチシルバー,タチシルバー,"2,100",ボール,61式戦車,ロジコマ,フチコマ,タチコマ,タチコマ2nd,タチシルバー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,118,,│││││├タチイエロー,タチイエロー,"2,099",ボール,61式戦車,ロジコマ,フチコマ,タチコマ,タチコマ2nd,タチイエロー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,119,,│││││└ジガバチ,ジガバチ,"2,111",ボール,61式戦車,ロジコマ,フチコマ,タチコマ,タチコマ2nd,ジガバチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,120,,│││││　└ジガバチAV,ジガバチAV,"2,112",ボール,61式戦車,ロジコマ,フチコマ,タチコマ,タチコマ2nd,ジガバチ,ジガバチAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,-2,-2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,121,,││││├海自303式強化外骨格,海自303式強化外骨格,"2,837",ボール,61式戦車,ロジコマ,フチコマ,タチコマ,海自303式強化外骨格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,122,,││││└X-4+,X-4+,"8,871",ボール,61式戦車,ロジコマ,フチコマ,タチコマ,X-4+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,123,,││││　└X-4+C,X-4+C,"8,872",ボール,61式戦車,ロジコマ,フチコマ,タチコマ,X-4+,X-4+C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,-2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,124,,││││　　└X-4RR,X-4RR,"8,873",ボール,61式戦車,ロジコマ,フチコマ,タチコマ,X-4+,X-4+C,X-4RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,-2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,125,,││││　　　└X-4S,X-4S,"8,874",ボール,61式戦車,ロジコマ,フチコマ,タチコマ,X-4+,X-4+C,X-4RR,X-4S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,-2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,126,,│││└HAW206,HAW206,"1,797",ボール,61式戦車,ロジコマ,フチコマ,HAW206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,-2,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,127,,││└アーマードスーツ,アーマードスーツ,"4,984",ボール,61式戦車,ロジコマ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,,│├ガンタンク初期型,ガンタンク初期型,"5,216",ボール,61式戦車,ガンタンク初期型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,129,,││├ガンタンク,ガンタンク,31,ボール,61式戦車,ガンタンク初期型,ガンタンク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,130,,│││├僧侶ガンタンク,僧侶ガンタンク,"3,627",ボール,61式戦車,ガンタンク初期型,ガンタンク,僧侶ガンタンク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,,│││├ロト,ロト,"3,070",ボール,61式戦車,ガンタンク初期型,ガンタンク,ロト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,132,,││││├ガンタンクR-44,ガンタンクR-44,448,ボール,61式戦車,ガンタンク初期型,ガンタンク,ロト,ガンタンクR-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,133,,││││├ナシリ専用ロト,ナシリ専用ロト,"3,071",ボール,61式戦車,ガンタンク初期型,ガンタンク,ロト,ナシリ専用ロト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,134,,││││└GFタンク,GFタンク,"8,574",ボール,61式戦車,ガンタンク初期型,ガンタンク,ロト,GFタンク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,135,,│││├特殊トレーラー,特殊トレーラー,955,ボール,61式戦車,ガンタンク初期型,ガンタンク,特殊トレーラー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,136,,│││├陸戦強襲型ガンタンク,陸戦強襲型ガンタンク,"3,711",ボール,61式戦車,ガンタンク初期型,ガンタンク,陸戦強襲型ガンタンク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,137,,│││├ガンタンク(ジオン鹵獲機),ガンタンク(ジオン鹵獲機),672,ボール,61式戦車,ガンタンク初期型,ガンタンク,ガンタンク(ジオン鹵獲機),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,138,,│││├量産型ガンタンク,量産型ガンタンク,"2,605",ボール,61式戦車,ガンタンク初期型,ガンタンク,量産型ガンタンク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,,││││└MS牽引型ガンタンク,MS牽引型ガンタンク,"2,606",ボール,61式戦車,ガンタンク初期型,ガンタンク,量産型ガンタンク,MS牽引型ガンタンク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,140,,│││├ガンタンクII,ガンタンクII,30,ボール,61式戦車,ガンタンク初期型,ガンタンク,ガンタンクII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,141,,││││└局地制圧型ガンタンク,局地制圧型ガンタンク,"4,807",ボール,61式戦車,ガンタンク初期型,ガンタンク,ガンタンクII,局地制圧型ガンタンク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,142,,│││└サンダーボルト仕様ガンタンク,サンダーボルト仕様ガンタンク,"5,029",ボール,61式戦車,ガンタンク初期型,ガンタンク,サンダーボルト仕様ガンタンク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,143,,││├ガンキャノン最初期型ロールアウト1号機,ガンキャノン最初期型ロールアウト1号機,"5,552",ボール,61式戦車,ガンタンク初期型,ガンキャノン最初期型ロールアウト1号機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,144,,│││├重装仕様ガンキャノン最初期型,重装仕様ガンキャノン最初期型,"5,986",ボール,61式戦車,ガンタンク初期型,ガンキャノン最初期型ロールアウト1号機,重装仕様ガンキャノン最初期型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,145,,│││└ガンキャノン最初期型,ガンキャノン最初期型,"5,475",ボール,61式戦車,ガンタンク初期型,ガンキャノン最初期型ロールアウト1号機,ガンキャノン最初期型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,146,,│││　├ガンキャノン機動試験型,ガンキャノン機動試験型,"5,553",ボール,61式戦車,ガンタンク初期型,ガンキャノン最初期型ロールアウト1号機,ガンキャノン最初期型,ガンキャノン機動試験型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147,,│││　├鉄騎兵中隊仕様ガンキャノン最初期型,鉄騎兵中隊仕様ガンキャノン最初期型,"5,476",ボール,61式戦車,ガンタンク初期型,ガンキャノン最初期型ロールアウト1号機,ガンキャノン最初期型,鉄騎兵中隊仕様ガンキャノン最初期型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,148,,│││　│└鉄騎兵中隊隊長仕様ガンキャノン最初期型,鉄騎兵中隊隊長仕様ガンキャノン最初期型,"5,824",ボール,61式戦車,ガンタンク初期型,ガンキャノン最初期型ロールアウト1号機,ガンキャノン最初期型,鉄騎兵中隊仕様ガンキャノン最初期型,鉄騎兵中隊隊長仕様ガンキャノン最初期型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,,│││　├量産型ガンキャノン,量産型ガンキャノン,39,ボール,61式戦車,ガンタンク初期型,ガンキャノン最初期型ロールアウト1号機,ガンキャノン最初期型,量産型ガンキャノン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,,│││　│├ガンキャノン,ガンキャノン,44,ボール,61式戦車,ガンタンク初期型,ガンキャノン最初期型ロールアウト1号機,ガンキャノン最初期型,量産型ガンキャノン,ガンキャノン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,,│││　││├ガンキャノン1A,ガンキャノン1A,778,ボール,61式戦車,ガンタンク初期型,ガンキャノン最初期型ロールアウト1号機,ガンキャノン最初期型,量産型ガンキャノン,ガンキャノン,ガンキャノン1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,152,,│││　││├戦士ガンキャノン,戦士ガンキャノン,"3,626",ボール,61式戦車,ガンタンク初期型,ガンキャノン最初期型ロールアウト1号機,ガンキャノン最初期型,量産型ガンキャノン,ガンキャノン,戦士ガンキャノン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,153,,│││　││├ガンキャノン(ジオン鹵獲機),ガンキャノン(ジオン鹵獲機),673,ボール,61式戦車,ガンタンク初期型,ガンキャノン最初期型ロールアウト1号機,ガンキャノン最初期型,量産型ガンキャノン,ガンキャノン,ガンキャノン(ジオン鹵獲機),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,,│││　││├ガンキャノン203号機,ガンキャノン203号機,"5,270",ボール,61式戦車,ガンタンク初期型,ガンキャノン最初期型ロールアウト1号機,ガンキャノン最初期型,量産型ガンキャノン,ガンキャノン,ガンキャノン203号機,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,155,,│││　││├ガンキャノンII,ガンキャノンII,253,ボール,61式戦車,ガンタンク初期型,ガンキャノン最初期型ロールアウト1号機,ガンキャノン最初期型,量産型ガンキャノン,ガンキャノン,ガンキャノンII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,156,,│││　│││├ブルG,ブルG,"7,577",ボール,61式戦車,ガンタンク初期型,ガンキャノン最初期型ロールアウト1号機,ガンキャノン最初期型,量産型ガンキャノン,ガンキャノン,ガンキャノンII,ブルG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,,│││　│││└ガンキャノン重装型,ガンキャノン重装型,51,ボール,61式戦車,ガンタンク初期型,ガンキャノン最初期型ロールアウト1号機,ガンキャノン最初期型,量産型ガンキャノン,ガンキャノン,ガンキャノンII,ガンキャノン重装型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
